name,decription,director,actors,year,rating
AvatarÂ ,avatar|future|marine|native|paraplegic,James Cameron,"Joel David Moore,CCH Pounder,Wes Studi",2009,7.9
Pirates of the Caribbean: At World's EndÂ ,goddess|marriage ceremony|marriage proposal|pirate|singapore,Gore Verbinski,"Orlando Bloom,Johnny Depp,Jack Davenport",2007,7.1
SpectreÂ ,bomb|espionage|sequel|spy|terrorist,Sam Mendes,"Rory Kinnear,Christoph Waltz,Stephanie Sigman",2015,6.8
The Dark Knight RisesÂ ,deception|imprisonment|lawlessness|police officer|terrorist plot,Christopher Nolan,"Christian Bale,Tom Hardy,Joseph Gordon-Levitt",2012,8.5
Star Wars: Episode VII - The Force AwakensÂ             ,,Doug Walker,"Rob Walker,Doug Walker,",,7.1
John CarterÂ ,alien|american civil war|male nipple|mars|princess,Andrew Stanton,"Samantha Morton,Daryl Sabara,Polly Walker",2012,6.6
Spider-Man 3Â ,sandman|spider man|symbiote|venom|villain,Sam Raimi,"James Franco,J.K. Simmons,Kirsten Dunst",2007,6.2
TangledÂ ,17th century|based on fairy tale|disney|flower|tower,Nathan Greno,"Donna Murphy,Brad Garrett,M.C. Gainey",2010,7.8
Avengers: Age of UltronÂ ,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,Joss Whedon,"Robert Downey Jr.,Chris Hemsworth,Scarlett Johansson",2015,7.5
Harry Potter and the Half-Blood PrinceÂ ,blood|book|love|potion|professor,David Yates,"Daniel Radcliffe,Alan Rickman,Rupert Grint",2009,7.5
Batman v Superman: Dawn of JusticeÂ ,based on comic book|batman|sequel to a reboot|superhero|superman,Zack Snyder,"Lauren Cohan,Henry Cavill,Alan D. Purwin",2016,6.9
Superman ReturnsÂ ,crystal|epic|lex luthor|lois lane|return to earth,Bryan Singer,"Marlon Brando,Kevin Spacey,Frank Langella",2006,6.1
Quantum of SolaceÂ ,action hero|attempted rape|bond girl|official james bond series|revenge,Marc Forster,"Mathieu Amalric,Giancarlo Giannini,Rory Kinnear",2008,6.7
